category,brand,model,description,url,notes
עגלות,Nuna,TRVL lx,טיולון עם קיפול עצמי אוטומטי,https://nunababy.com/usa/trvl-lx-stroller?color_ref=16366,נמכר דרך מפיצים שונים
עגלות,Nuna,Swiv,טיולון קל משקל עם גלגלים המסתובבים 360 מעלות לתמרון מקסימלי,https://nunababy.com/usa/swiv-stroller?color_ref=16693,נמכר דרך מפיצים שונים
כיסאות בטיחות,Cybex,Cloud T,סלקל מסתובב,https://orbitbaby.com/blogs/news/cybex-cloud-t-stroller-review,
כיסאות בטיחות,Cybex,Sirona S,כיסא מסתובב 360,https://www.cybex-online.com/en/us/p/cs-go-sirona-s-sensorsafe-3.html,
כיסאות בטיחות,Cybex,Solution Z-Fix,בוסטר,https://www.cybex-online.com/en/us/p/cs-pl-solution-z-fix.html,
כיסאות בטיחות,Cybex,Aton G,סלקל,https://www.cybex-online.com/en/us/p/cs-go-aton-g.html,
כיסאות בטיחות,Cybex,Anoris T2,כיסא עם כרית אוויר מובנית,https://www.cybex-online.com/en/row/anoris-t2-i-size-platinum.html,
כיסאות בטיחות,Nuna,Pipa Urbn,סלקל ללא בסיס,https://nunababy.com/en/pipa-urbn-infant-car-seat,נמכר דרך מפיצים שונים
כיסאות בטיחות,Nuna,Pipa Aire RX,סלקל קל משקל,https://nunababy.com/usa/pipa-aire-rx?color_ref=16693,נמכר דרך מפיצים שונים
כיסאות בטיחות,Nuna,Rava Next,כיסא בטיחות מתקדם,https://www.sweetpbaby.com/products/nuna-rava%E2%84%A2-next,נמכר דרך מפיצים שונים
כיסאות בטיחות,Nuna,Revv Maxx,כיסא מסתובב,https://www.prnewswire.com/news-releases/nuna-debuts-revv-maxx-302713484.html,נמכר דרך מפיצים שונים
כיסאות בטיחות,Nuna,Exec Next,כיסא All-in-One לכל הגילאים,https://nunababy.com/usa/exec-next-all-in-one-car-seat?color_ref=16693,נמכר דרך מפיצים שונים
כיסאות בטיחות,UPPAbaby,Aria V2,"הסלקל הקל ביותר (כ-2.7 ק""ג)",https://uppababy.com/car-seats/infant/aria-v2/,נמכר דרך שילב
כיסאות בטיחות,UPPAbaby,Mesa V3,סלקל בטיחותי,https://uppababy.com/car-seats/infant/mesa-v3/,נמכר דרך שילב
כיסאות בטיחות,UPPAbaby,Rove,כיסא בטיחות רב-שלבי,https://uppababy.com/car-seats/convertible/rove/,נמכר דרך שילב
כיסאות בטיחות,UPPAbaby,Alta V2,בוסטר גב,https://uppababy.com/support/alta/,נמכר דרך שילב
כיסאות בטיחות,UPPAbaby,Mesa V2,סלקל,https://uppababy.ca/car-seats/infant/mesa-v2/,נמכר דרך שילב
כיסאות בטיחות,Chicco,Fit 360,הכיסא המסתובב (המלצת קרין),https://www.target.com/p/chicco-fit360-cleartex-rotating-convertible-car-seat-obsidian/-/A-94371984,
כיסאות בטיחות,Chicco,NextFit Zip,כיסא בטיחות,https://www.target.com/s/chicco+nextfit+zip,
כיסאות בטיחות,Chicco,KeyFit 35,סלקל,https://www.chiccousa.com/shop-our-products/car-seats/infant/keyfit-35-infant-car-seat/79625.html,
כיסאות בטיחות,Chicco,MyFit,כיסא בטיחות,https://www.chiccousa.com/,
כיסאות בטיחות,Chicco,KidFit,בוסטר,https://www.chiccousa.com/,
כיסאות בטיחות,Bugaboo,Turtle Air Shield,סלקל בשיתוף נונה,https://www.bugaboo.com/us-en/car-seat/bugaboo-turtle-air-shield-by-nuna-car-seat-400016MI.html,
כיסאות בטיחות,Bugaboo,Owl,כיסא בטיחות,https://www.bugaboo.com/on/demandware.static/-/Library-Sites-BugabooSharedLibrary/default/dw93ab71f6/PDFs/User%20guides/IM-000670C%20UG%20Bugaboo%20Owl%20by%20Nuna%2010052361%20rv000%20inv1%20online.pdf,
לולים ועריסות,Nuna,Sena Aire,לול קמפינג עם אוורור 360 מעלות,https://nunababy.com/usa/sena-aire-usa?color_ref=16708,נמכר דרך מפיצים שונים
לולים ועריסות,Nuna,Sena Aire + Changer,כולל משטח החתלה,https://www.babylist.com/gp/nuna-sena-aire-travel-crib-with-changer/26984/2127207,נמכר דרך מפיצים שונים
לולים ועריסות,Nuna,Cove Aire,לול,https://www.piccolinobaby.com/collections/nuna-cove-aire,נמכר דרך מפיצים שונים
לולים ועריסות,Nuna,Paal,עריסה,https://nunababy.com/en/paal-playard,נמכר דרך מפיצים שונים
לולים ועריסות,Nuna,Leaf Grow,טרמפולינה המותאמת לשימוש ארוך טווח,https://www.potterybarnkids.com/products/nuna-leaf-grow/,נמכר דרך מפיצים שונים
לולים ועריסות,UPPAbaby,Remi Playard,לול מתקפל קל,https://uppababy.com/at-home/playard/remi/,נמכר דרך שילב
לולים ועריסות,UPPAbaby,Remi Changing Station,מתאם החתלה,https://uppababy.com/accessories/at-home-accessories/changing-station-for-remi/,נמכר דרך שילב
לולים ועריסות,UPPAbaby,Remi Organizer,אורגנייזר,https://www.amazon.com/Changing-Station-Organizer-for-REMI/dp/B0B6D5L4D1,נמכר דרך שילב
לולים ועריסות,UPPAbaby,Remi Sheet,סדין,https://www.amazon.com/uppababy-remi-sheet/s?k=uppababy+remi+sheet,נמכר דרך שילב
לולים ועריסות,UPPAbaby,Soma,עריסה חכמה,https://uppababy.com/at-home/smart/soma/,נמכר דרך שילב
לולים ועריסות,Bugaboo,Stardust Playard,לול מתקפל תוך שניות,https://www.bugaboo-distributor.co.il/product/stardust/,
לולים ועריסות,Sport Line,עריסת נועה,עריסה,https://sport-line.co.il/product/noa/,
לולים ועריסות,Sport Line,עריסת עלמה,עריסה,https://www.bsbebe.co.il/product/%D7%A2%D7%A8%D7%99%D7%A1%D7%94-%D7%A0%D7%A6%D7%9E%D7%93%D7%AA-%D7%95%D7%9E%D7%AA%D7%97%D7%91%D7%A8%D7%AA-%D7%93%D7%92%D7%9D-%D7%A2%D7%9C%D7%9E%D7%94-alma-%D7%90%D7%A4%D7%95%D7%A8-%E2%80%93-%D7%A1%D7%A4%D7%95%D7%A8%D7%98-%D7%9C%D7%99%D7%99%D7%9F-sportline,
לולים ועריסות,Sport Line,עריסה עם גלגלים,עריסה ניידת,https://sport-line.co.il/brand/sportline/,
לולים ועריסות,Sport Line,עריסה מתחברת,עריסה צמודה למיטה,https://www.shilav.co.il/collections/sport-line,
לולים ועריסות,Sport Line,מיטת עץ סטנדרטית,מיטת תינוק,https://www.shilav.co.il/collections/sport-line-main,
לולים ועריסות,Storkcraft,Casablanca 5-in-1,מיטה מתפתחת,https://www.storkcraft.com/products/storkcraft%C2%AE-casablanca-deluxe-5-in-1-convertible-crib-with-drawer,
לולים ועריסות,Storkcraft,Alpine,מיטת תינוק,https://www.storkcraft.com/collections/alpine-collection,
לולים ועריסות,Storkcraft,Morningside,מיטת תינוק,https://www.storkcraft.com/collections/morningside-collection,
לולים ועריסות,Storkcraft,Horizon,מיטת תינוק,https://www.kohls.com/product/prd-6349166/storkcraft-horizon-5-in-1-convertible-crib.jsp,
לולים ועריסות,Storkcraft,Pasadena,מיטת תינוק,https://www.storkcraft.com/products/storkcraft%C2%AE-pasadena-3-in-1-convertible-crib,
